acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.964,https://api.spotify.com/v1/audio-analysis/2iwaIRkfIZb3Lr7ObmhEbf,Tift Merritt,39,0.381,177013,0.359,2iwaIRkfIZb3Lr7ObmhEbf,0.000575,7,0.692,-10.169,1,0.0379,90.898,4,https://api.spotify.com/v1/tracks/2iwaIRkfIZb3Lr7ObmhEbf,Morning Is My Destination - Buckingham Live,3,audio_features,spotify:track:2iwaIRkfIZb3Lr7ObmhEbf,0.394
0.837,https://api.spotify.com/v1/audio-analysis/1nGOauYZ0Ku9ZXyk3kyYzB,Elvis Presley,79,0.364,170893,0.39,1nGOauYZ0Ku9ZXyk3kyYzB,0.413,1,0.145,-10.549,1,0.0266,79.664,4,https://api.spotify.com/v1/tracks/1nGOauYZ0Ku9ZXyk3kyYzB,Never Again,33,audio_features,spotify:track:1nGOauYZ0Ku9ZXyk3kyYzB,0.282
0.087,https://api.spotify.com/v1/audio-analysis/3MrvrNXwUqRPxZAnUCXpdq,Lexx Groove,0,0.798,464517,0.444,3MrvrNXwUqRPxZAnUCXpdq,0.86,2,0.081,-13.042,1,0.104,124.004,4,https://api.spotify.com/v1/tracks/3MrvrNXwUqRPxZAnUCXpdq,Strange,0,audio_features,spotify:track:3MrvrNXwUqRPxZAnUCXpdq,0.416
0.515,https://api.spotify.com/v1/audio-analysis/3u6YTdxBfx3dzIC5qJ9Afu,Maddie & Tae,67,0.534,212667,0.632,3u6YTdxBfx3dzIC5qJ9Afu,0,3,0.0922,-5.833,1,0.03,143.866,4,https://api.spotify.com/v1/tracks/3u6YTdxBfx3dzIC5qJ9Afu,Strangers,72,audio_features,spotify:track:3u6YTdxBfx3dzIC5qJ9Afu,0.227
9.03E-06,https://api.spotify.com/v1/audio-analysis/3Sy3LpBKeRebcdimURVnJ6,Alura,29,0.404,220682,0.98,3Sy3LpBKeRebcdimURVnJ6,0.00154,11,0.359,-2.237,1,0.0936,95.012,4,https://api.spotify.com/v1/tracks/3Sy3LpBKeRebcdimURVnJ6,Counterfeit,43,audio_features,spotify:track:3Sy3LpBKeRebcdimURVnJ6,0.276
1.43E-05,https://api.spotify.com/v1/audio-analysis/3gFqjcmVOjosOJEsGiht9W,Overture,26,0.507,269531,0.887,3gFqjcmVOjosOJEsGiht9W,0.13,1,0.121,-9.862,0,0.038,106.186,4,https://api.spotify.com/v1/tracks/3gFqjcmVOjosOJEsGiht9W,Out of Time,27,audio_features,spotify:track:3gFqjcmVOjosOJEsGiht9W,0.48
0.000591,https://api.spotify.com/v1/audio-analysis/6H3UFuP7JOeIE9oeg7gENl,Gary Eisenbraun,2,0.272,337591,0.914,6H3UFuP7JOeIE9oeg7gENl,0.801,9,0.121,-3.851,0,0.0752,188.092,4,https://api.spotify.com/v1/tracks/6H3UFuP7JOeIE9oeg7gENl,Infinite Sunshine,0,audio_features,spotify:track:6H3UFuP7JOeIE9oeg7gENl,0.281
0.0538,https://api.spotify.com/v1/audio-analysis/3E7pI5WwkdSRpwTHpdKrMe,Quadry,38,0.814,130839,0.851,3E7pI5WwkdSRpwTHpdKrMe,0.0815,0,0.119,-6.618,1,0.0735,104.043,4,https://api.spotify.com/v1/tracks/3E7pI5WwkdSRpwTHpdKrMe,1:04 PM,51,audio_features,spotify:track:3E7pI5WwkdSRpwTHpdKrMe,0.791
0.339,https://api.spotify.com/v1/audio-analysis/2idquybcgqYNoCFLYnkVbB,Shelby Merry,40,0.725,248175,0.759,2idquybcgqYNoCFLYnkVbB,0.324,10,0.0804,-8.602,0,0.14,122.013,4,https://api.spotify.com/v1/tracks/2idquybcgqYNoCFLYnkVbB,Dark Ages,12,audio_features,spotify:track:2idquybcgqYNoCFLYnkVbB,0.171
0.85,https://api.spotify.com/v1/audio-analysis/2487r17GdiXHzvcjtH3qEk,Acoustic Heartstrings,47,0.674,388375,0.172,2487r17GdiXHzvcjtH3qEk,0.77,2,0.0737,-18.605,1,0.0475,80.056,4,https://api.spotify.com/v1/tracks/2487r17GdiXHzvcjtH3qEk,Jeremy,12,audio_features,spotify:track:2487r17GdiXHzvcjtH3qEk,0.183
0.00186,https://api.spotify.com/v1/audio-analysis/1negLHqRz28z6vtEDcSfnU,Logic Marselis,0,0.604,132588,0.343,1negLHqRz28z6vtEDcSfnU,0.867,11,0.114,-15.518,1,0.129,86.835,4,https://api.spotify.com/v1/tracks/1negLHqRz28z6vtEDcSfnU,Clouds,0,audio_features,spotify:track:1negLHqRz28z6vtEDcSfnU,0.61
0.241,https://api.spotify.com/v1/audio-analysis/1703WM3M7lF6di5XDFQXR0,Nina Sky Feat. Cham,2,0.793,218173,0.704,1703WM3M7lF6di5XDFQXR0,0,4,0.147,-5.421,1,0.17,119.999,4,https://api.spotify.com/v1/tracks/1703WM3M7lF6di5XDFQXR0,Turnin' Me On (Black Chiney Reggae Remix),12,audio_features,spotify:track:1703WM3M7lF6di5XDFQXR0,0.502
