acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.18,https://api.spotify.com/v1/audio-analysis/72ms9NBwklClXZT38mJUVE,The Lucky Bitz,20,0.823,211200,0.931,72ms9NBwklClXZT38mJUVE,0.0122,9,0.0996,-4.827,0,0.0878,138.988,4,https://api.spotify.com/v1/tracks/72ms9NBwklClXZT38mJUVE,Hella décalé,4,audio_features,spotify:track:72ms9NBwklClXZT38mJUVE,0.888
0.000202,https://api.spotify.com/v1/audio-analysis/76hKgeZVUCTQOqD0Hoqxmf,UNDERCOVER SLUT,2,0.475,230787,0.927,76hKgeZVUCTQOqD0Hoqxmf,0.0113,2,0.184,-5.839,1,0.13,134.965,4,https://api.spotify.com/v1/tracks/76hKgeZVUCTQOqD0Hoqxmf,Legalize Homicide,1,audio_features,spotify:track:76hKgeZVUCTQOqD0Hoqxmf,0.227
0.124,https://api.spotify.com/v1/audio-analysis/42EOgdZrqTun7o58H9OsvT,Kenzie Nimmo,29,0.552,190610,0.694,42EOgdZrqTun7o58H9OsvT,9.27E-06,4,0.314,-4.611,1,0.0552,94.948,4,https://api.spotify.com/v1/tracks/42EOgdZrqTun7o58H9OsvT,These Four Walls,43,audio_features,spotify:track:42EOgdZrqTun7o58H9OsvT,0.599
0.0827,https://api.spotify.com/v1/audio-analysis/1bAy16OKep71WF9mbaIhgZ,El Jincho,62,0.77,204632,0.883,1bAy16OKep71WF9mbaIhgZ,2.61E-05,7,0.0713,-4.787,1,0.336,189.968,4,https://api.spotify.com/v1/tracks/1bAy16OKep71WF9mbaIhgZ,Tic Tac - Viejo Vive,48,audio_features,spotify:track:1bAy16OKep71WF9mbaIhgZ,0.855
0.544,https://api.spotify.com/v1/audio-analysis/49rhyZLMgZZIsYcAQTnaHS,Electric Octopus,32,0.441,724659,0.319,49rhyZLMgZZIsYcAQTnaHS,0.918,5,0.11,-11.847,1,0.0302,94.513,4,https://api.spotify.com/v1/tracks/49rhyZLMgZZIsYcAQTnaHS,Moments,43,audio_features,spotify:track:49rhyZLMgZZIsYcAQTnaHS,0.216
0.908,https://api.spotify.com/v1/audio-analysis/4FUGzSW7a17sVUDDNyIZf4,Sadhguru Español,31,0.669,178722,0.477,4FUGzSW7a17sVUDDNyIZf4,0,8,0.403,-15.475,1,0.956,79.296,4,https://api.spotify.com/v1/tracks/4FUGzSW7a17sVUDDNyIZf4,Impulsado por los celos,24,audio_features,spotify:track:4FUGzSW7a17sVUDDNyIZf4,0.484
0.903,https://api.spotify.com/v1/audio-analysis/1DUwX7Xlkn9lCHd665bMCs,Omar Loera: Guitarra,20,0.632,257393,0.644,1DUwX7Xlkn9lCHd665bMCs,0.894,2,0.23,-9.106,0,0.0363,77.031,4,https://api.spotify.com/v1/tracks/1DUwX7Xlkn9lCHd665bMCs,Careless Whisper (Murmullo Inesperado),17,audio_features,spotify:track:1DUwX7Xlkn9lCHd665bMCs,0.587
0.00353,https://api.spotify.com/v1/audio-analysis/27NS7gB74Z2WrnA6f2Pqw1,GameChops,68,0.487,247504,0.878,27NS7gB74Z2WrnA6f2Pqw1,0.824,8,0.224,-5.641,1,0.0371,160.009,3,https://api.spotify.com/v1/tracks/27NS7gB74Z2WrnA6f2Pqw1,"Crisis City (From ""Sonic the Hedgehog 2006"") [Remix]",24,audio_features,spotify:track:27NS7gB74Z2WrnA6f2Pqw1,0.436
0.817,https://api.spotify.com/v1/audio-analysis/1BWrzdiEjDsYBWxdUunvP6,David Antony Clark,21,0.413,339541,0.285,1BWrzdiEjDsYBWxdUunvP6,0.586,0,0.142,-14.067,0,0.0275,176.143,4,https://api.spotify.com/v1/tracks/1BWrzdiEjDsYBWxdUunvP6,Flight of the Giant Eagle (Rock Art remix),0,audio_features,spotify:track:1BWrzdiEjDsYBWxdUunvP6,0.394
7.45E-06,https://api.spotify.com/v1/audio-analysis/55AYx3g34XosFOEVIv2iI1,Patoi,0,0.726,90013,0.674,55AYx3g34XosFOEVIv2iI1,0.878,7,0.027,-14.333,1,0.0672,119.989,4,https://api.spotify.com/v1/tracks/55AYx3g34XosFOEVIv2iI1,Runfst Lola,0,audio_features,spotify:track:55AYx3g34XosFOEVIv2iI1,0.597
